,leak_coeff: 0.5,,,
leakage_position (foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
335,117.35521475846575,114.94331660122856,1257.0054012441894,1251.5924775269557
336,117.35521981873066,114.9433141394861,1257.0051183278463,1251.5922052597487
337,117.35522477887494,114.94331156633126,1257.0048365450962,1251.5919341287752
338,117.35522947568643,114.9433087000869,1257.0045577432975,1251.591665984868
339,117.35523337742852,114.94330494886646,1257.0042879394177,1251.591406857189
340,117.35523513536349,114.94329881135883,1257.0040423951634,1251.5911720390543
341,117.35523084742563,114.94328594408398,1257.003865265087,1251.5910057759463
342,117.35520927734437,114.9432538396925,1257.0038836956458,1251.5910354752525
343,117.35513745083387,114.94316579374483,1257.004470813455,1251.5916350310952
344,117.35523392881102,114.94326509142806,1257.0031534501215,1251.59032619056
345,117.35525426007919,114.94327962849046,1257.002697740739,1251.5898807753963
346,117.35511980737637,114.94312187198058,1257.0039935205202,1251.5911904501734
347,117.35527624482219,114.94328791204207,1257.0019976769165,1251.589201734123
348,117.35435201957581,114.94225104151079,1257.0122302538698,1251.5994665810022
349,117.35424688582069,114.94212592066276,1257.01319426483,1251.6004438056943
350,117.35435899760861,114.94224262089301,1257.0117000092403,1251.598957709191
351,117.35440004873412,114.94228022188611,1257.0110098498321,1251.5982773624364
352,117.3544174640928,114.94229151339849,1257.0105871446485,1251.5978650195245
353,117.3544268427632,114.94229385912122,1257.0102553806346,1251.5975438046962
354,117.35443340290573,114.94229306750512,1257.0099555111226,1251.5972545502568
355,117.35443904882585,114.94229125828528,1257.009665987563,1251.5969756625852
356,117.35444432409707,114.94228903651853,1257.009380659149,1251.5967009789492
357,117.35444951620858,114.94228672221658,1257.009096272873,1251.5964272394476
358,117.35445462513844,114.94228431535836,1257.0088128286052,1251.5961544439951
359,117.35445976776359,114.9422819460409,1257.0085290043864,1251.5958812674448
360,117.35446486953875,114.9422795312846,1257.0082456433322,1251.5956085552525
361,117.3544699925781,114.94227714023452,1257.0079620425665,1251.5953356026457
362,117.35447512034189,114.9422747544733,1257.0076783895797,1251.5950625978514
363,117.35448022016128,114.94227233764175,1257.007395053503,1251.594789910771
364,117.35448532704308,114.94226992870638,1257.0071116385586,1251.5945171444876
365,117.3544904362601,114.94226752240431,1257.0068281982753,1251.5942443526908
366,117.35449559201231,114.94226516793347,1257.006544232397,1251.593971034444
367,117.35450069800808,114.9422627581113,1257.0062608307674,1251.5936982813575
368,117.35450581538987,114.94226036099809,1257.0059773009386,1251.5934254000615
369,117.35451093118981,114.94225796215653,1257.005693790385,1251.5931525378082
370,117.35451607503784,114.94225559457067,1257.0054099632043,1251.5928793584312
371,117.3545211535855,114.94225315432875,1257.0051268761258,1251.5926069207294
372,117.35452627787991,114.94225076504502,1257.004843272331,1251.592333965024
373,117.35453139400605,114.9422483667007,1257.0045597619644,1251.5920611031513
374,117.35453652090989,114.94224598038745,1257.0042761306875,1251.5917881200173
375,117.35454163355129,114.94224357823298,1257.0039926617596,1251.5915152995062
376,117.3545467603111,114.94224119182655,1257.0037090340675,1251.591242320036
377,117.35455185468862,114.94223876940812,1257.0034257738753,1251.5909697087616
378,117.3545569801975,114.94223638167718,1257.0031421624308,1251.5906967454123
379,117.35456210686341,114.94223399526709,1257.002858538787,1251.5904237700313
380,117.35456721507009,114.94223158834292,1257.002575125219,1251.590151004983
381,117.35457233261138,114.94222919184463,1257.0022916069063,1251.589878134926
382,117.35457745359638,114.94222679921128,1257.0020080507707,1251.589605227029
